EmployeeKey	ParentEmployeeKey	EmployeeNationalIDAlternateKey	ParentEmployeeNationalIDAlternateKey	FirstName	LastName	MiddleName	NameStyle	Title	HireDate	BirthDate	LoginID	EmailAddress	Phone	MaritalStatus	EmergencyContactName	EmergencyContactPhone	SalariedFlag	Gender	PayFrequency	BaseRate	VacationHours	SickLeaveHours	CurrentFlag	SalesPersonFlag	DepartmentName	Position
1	18	14417807	446466105	Guy	Gilbert	R	False	Production Technician - WC60	Saturday, January 28, 2006	Thursday, November 12, 1981	AW\guy-gilbert	guy-gilbert@adventureworks.com	320-555-0195	M	Guy Gilbert	320-555-0195	False	M	1	$12.45	21	30	True	False	Production	
2	7	253022876	24756624	Kevin	Brown	F	False	Marketing Assistant	Saturday, August 26, 2006	Monday, December 1, 1986	AW\kevin-brown	kevin-brown@adventureworks.com	150-555-0189	S	Kevin Brown	150-555-0189	False	M	2	$13.4615	42	41	True	False	Marketing	
3	14	509647174	245797967	Roberto	Tamburello		False	Engineering Manager	Monday, June 11, 2007	Wednesday, June 12, 1974	AW\roberto-tamburello	roberto-tamburello@adventureworks.com	212-555-0187	M	Roberto Tamburello	212-555-0187	True	M	2	$43.2692	2	21	True	False	Engineering	
4	3	112457891	509647174	Rob	Walters		False	Senior Tool Designer	Thursday, July 5, 2007	Tuesday, July 23, 1974	AW\rob-walters	rob-walters@adventureworks.com	612-555-0100	S	Rob Walters	612-555-0100	False	M	2	$29.8462	48	80	True	False	Tool Design	
5	3	112457891	509647174	Rob	Walters		False	Senior Tool Designer	Thursday, July 5, 2007	Tuesday, July 23, 1974	AW\rob-walters	rob-walters@adventureworks.com	612-555-0100	S	Rob Walters	612-555-0100	False	M	2	$29.8462	48	80	True	False	Tool Design	
6	267	480168528	974026903	Thierry	D'Hers	B	False	Tool Designer	Wednesday, July 11, 2007	Thursday, February 26, 1959	AW\thierry-dhers	thierry-dhers@adventureworks.com	168-555-0183	M	Thierry D'Hers	168-555-0183	False	M	2	$25	9	24	True	False	Tool Design	
7	112	24756624	295847284	David	Bradley	M	False	Marketing Manager	Friday, July 20, 2007	Thursday, October 17, 1974	AW\david-bradley	david-bradley@adventureworks.com	913-555-0172	S	David Bradley	913-555-0172	True	M	2	$37.5	40	40	True	False	Marketing	
8	112	24756624	295847284	David	Bradley	M	False	Marketing Manager	Friday, July 20, 2007	Thursday, October 17, 1974	AW\david-bradley	david-bradley@adventureworks.com	913-555-0172	S	David Bradley	913-555-0172	True	M	2	$37.5	40	40	True	False	Marketing	
9	23	309738752	277173473	JoLynn	Dobney	M	False	Production Supervisor - WC60	Thursday, July 26, 2007	Tuesday, August 16, 1955	AW\jolynn-dobney	jolynn-dobney@adventureworks.com	903-555-0145	S	JoLynn Dobney	903-555-0145	False	F	2	$25	82	61	True	False	Production	
10	189	690627818	33237992	Ruth	Ellerbrock	Ann	False	Production Technician - WC10	Monday, August 6, 2007	Tuesday, January 3, 1956	AW\ruth-ellerbrock	ruth-ellerbrock@adventureworks.com	145-555-0130	M	Ruth Ellerbrock	145-555-0130	False	F	1	$13.45	83	61	True	False	Production	
11	3	695256908	509647174	Gail	Erickson	A	False	Design Engineer	Monday, August 6, 2007	Sunday, April 27, 1952	AW\gail-erickson	gail-erickson@adventureworks.com	849-555-0139	M	Gail Erickson	849-555-0139	True	F	2	$32.6923	5	22	True	False	Engineering	
12	189	912265825	33237992	Barry	Johnson	K	False	Production Technician - WC10	Tuesday, August 7, 2007	Tuesday, October 25, 1955	AW\barry-johnson	barry-johnson@adventureworks.com	206-555-0180	S	Barry Johnson	206-555-0180	False	M	1	$13.45	88	64	True	False	Production	
13	3	998320692	509647174	Jossef	Goldberg	H	False	Design Engineer	Friday, August 24, 2007	Thursday, October 9, 1958	AW\jossef-goldberg	jossef-goldberg@adventureworks.com	122-555-0189	M	Jossef Goldberg	122-555-0189	True	M	2	$32.6923	6	23	True	False	Engineering	
14	112	245797967	295847284	Terri	Duffy	Lee	False	Vice President of Engineering	Friday, August 31, 2007	Monday, March 1, 1971	AW\terri-duffy	terri-duffy@adventureworks.com	819-555-0175	S	Terri Duffy	819-555-0175	True	F	2	$63.4615	1	20	True	False	Engineering	
